"Ayfantopoulou, G.; Touloumidis, D.; Mallidis, I.; Xenou, E.A Quantitative Model of Innovation Readiness in Urban Mobility: A Comparative Study of Smart Cities in the EU, Eastern Asia, and USA Regions. Smart Cities 2023, 6, 3337-3358.https://doi.org/10.3390/smartcities6060148",3,Smart Cities

"Kramens, J.; Feofilovs, M.; Vigants, E.Environmental Impact Analysis of Residential Energy Solutions in Latvian Single-Family Houses: A Lifecycle Perspective. Smart Cities 2023, 6, 3319-3336.https://doi.org/10.3390/smartcities6060147",3,Smart Cities

"Anton, T.S.; Trupp, A.; Stephenson, M.L.; Chong, K.L.The Technology Adoption Model Canvas (TAMC): A Smart Framework to Guide the Advancement of Microbusinesses in Emerging Economies. Smart Cities 2023, 6, 3297-3318.https://doi.org/10.3390/smartcities6060146",3,Smart Cities

"Rajabzadeh, M.; Fatorachian, H.Modelling Factors Influencing IoT Adoption: With a Focus on Agricultural Logistics Operations. Smart Cities 2023, 6, 3266-3296.https://doi.org/10.3390/smartcities6060145",3,Smart Cities

"Remr, J.Usefulness of a Civic Engagement Scale for Research on Smart Cities: Measuring Attitudes and Behavior. Smart Cities 2023, 6, 3251-3265.https://doi.org/10.3390/smartcities6060144",3,Smart Cities

"Issa Zadeh, S.B.; Garay-Rondero, C.L.Enhancing Urban Sustainability: Unravelling Carbon Footprint Reduction in Smart Cities through Modern Supply-Chain Measures. Smart Cities 2023, 6, 3225-3250.https://doi.org/10.3390/smartcities6060143",3,Smart Cities

"Jamil, H.; Qayyum, F.; Iqbal, N.; Khan, M.A.; Naqvi, S.S.A.; Khan, S.; Kim, D.H.Secure Hydrogen Production Analysis and Prediction Based on Blockchain Service Framework for Intelligent Power Management System. Smart Cities 2023, 6, 3192-3224.https://doi.org/10.3390/smartcities6060142",3,Smart Cities

"Eltamaly, A.M.Optimal Dispatch Strategy for Electric Vehicles in V2G Applications. Smart Cities 2023, 6, 3161-3191.https://doi.org/10.3390/smartcities6060141",3,Smart Cities

"Nalin, A.; Cameli, L.; Pazzini, M.; Simone, A.; Vignali, V.; Lantieri, C.Unveiling the Socio-Economic Fragility of a Major Urban Touristic Destination through Open Data and Airbnb Data: The Case Study of Bologna, Italy. Smart Cities 2023, 6, 3138-3160.https://doi.org/10.3390/smartcities6060140",3,Smart Cities

"Alkhatib, M.I.I.; Talei, A.; Chang, T.K.; Pauwels, V.R.N.; Chow, M.F.An Urban Acoustic Rainfall Estimation Technique Using a CNN Inversion Approach for Potential Smart City Applications. Smart Cities 2023, 6, 3112-3137.https://doi.org/10.3390/smartcities6060139",3,Smart Cities

"Wirsbinna, A.; Grega, L.; Juenger, M.Assessing Factors Influencing Citizens’ Behavioral Intention towards Smart City Living. Smart Cities 2023, 6, 3093-3111.https://doi.org/10.3390/smartcities6060138",3,Smart Cities

"Bose, M.; Dutta, B.R.; Shrivastava, N.; Sarangi, S.R.PC-ILP: A Fast and Intuitive Method to Place Electric Vehicle Charging Stations in Smart Cities. Smart Cities 2023, 6, 3060-3092.https://doi.org/10.3390/smartcities6060137",3,Smart Cities

"Ependi, U.; Rochim, A.F.; Wibowo, A.An Assessment Model for Sustainable Cities Using Crowdsourced Data Based on General System Theory: A Design Science Methodology Approach. Smart Cities 2023, 6, 3032-3059.https://doi.org/10.3390/smartcities6060136",3,Smart Cities

"Xu, Z.; Salehi Shahraki, A.; Rudolph, C.Blockchain-Based Malicious Behaviour Management Scheme for Smart Grids. Smart Cities 2023, 6, 3005-3031.https://doi.org/10.3390/smartcities6050135",3,Smart Cities

